id_contrato;cpf;dt_contratacao;produto;canal_originacao;valor_contratado;prazo_meses;taxa_juros_am;limite_aprovado;score_bureau;renda_declarada;idade;uf;sexo;status_contrato;fpd_15;over30_3m;over60_6m
C0040596;PMFYJ8P72ML;26/10/2025;Empréstimo Pessoal;app;R$ 693,58;9;8,92;768,58;601;3.500,00;;SC;F;Cancelado;0;0;NAO
C0049351;T4KLGF6C33X;23/09/2025;Cartão;Parceiro;1.303,81;6;11,60;1343.35;568;3.000,00;52;SP;F;Ativo;0;0;NAO
C0003573;YGU3XHHHWXS;12-06-2025;CREDIARIO;Site;2.368,75;9;4,32;4.145,08;777;R$ 1.690,00;34;PE;F;Ativo;0;0;NAO
C0042369;WYKB278SP6B;2025-07-15;CREDIARIO;APP;1775.17;3;7,14;3.687,40;648;1.440,00;18;GO;M;Quitado;0;0;NAO
C0049490;CA3GT4FLAGC;2025-09-30;CDC;SITE;154,98;18;10,07;231,60;602;5.360,00;36;PE;M;Ativo;0;0;NAO
C0028901;nvt7729epe9;29/10/2025;Crediário;App;632.51;18;2,50;R$ 1.157,02;828;3.230,00;28;SP;M;Ativo;0;0;NAO
C0044341;VNPUWMJVYMS;11-11-2025;cdc;loja;1.533,94;12;11,18;3.611,02;641;4.020,00;31;SP;M;Ativo;1;1;SIM
C0001806;B7UDSAKMQU4;29/11/2025;EP;parceiro;636,27;10;11,63;707.66;-1;0;59;PR;M;Ativo;0;0;NAO
C0023058;8YVGZPTHKEF;03/07/2025;Empréstimo Pessoal;parceiro;802,28;12;16,73;1.689,37;501;1.940,00;38;SC;F;Cancelado;0;1;SIM
C0027992;V4UFNER239J;2025-10-03;Emprestimo Pessoal;LOJA;1.344,03;12;7,30;1.712,08;720;6830.00;33;PE;F;Ativo;0;0;NAO
C0035950;36ASRHLWW9J;22/10/2025;cdc;site;359,26;18;10,85;593.97;605;-;34;MG;F;Ativo;0;0;SIM
C0051526;8GE9GVVSFYL;02-08-2025;CARTAO;SITE;684,71;24;12,32;R$ 1.518,89;683;4.050,00;30;MG;F;Ativo;0;0;NAO
C0026240;RMYBMNQB35W;2025-06-29;ep;App;1.121,56;3;9,96;2.435,06;580;3.330,00;30;DF;F;Ativo;0;1;SIM
C0005498;8LC2HBYLEBF;01/07/2025;Crediário;APP;710,78;6;12,28;R$ 1.379,79;559;3270.00;49;SP;M;Ativo;0;0;SIM
C0047045;5WQJ4QDCXP7;2025-07-06;CREDIARIO;APP;R$ 3.567,71;9;8,23;R$ 4.221,56;677;3.070,00;29;SP;M;Ativo;0;0;NAO
C0037180;8GLEAE9A3KF;22/06/2025;Crediário;PARCEIRO;1.126,30;6;16,17;2.088,21;423;2090.00;57;MG;F;Ativo;0;1;SIM
C0050039;WJPQWYBWQWT;16/10/2025;ep;SITE;R$ 585,86;12;10,88;1.383,16;576;1910.00;21;PA;M;Ativo;0;0;NAO
C0051272;b9hyf7z9cju;09/10/2025;CREDIARIO;loja;R$ 926,08;24;14,34;2130.04;536;R$ 2.030,00;46;SP;M;Ativo;1;1;SIM
C0011210;G6E4VMJZQTM;20-09-2025;CDC;LOJA;762,56;6;7,67;866,21;636;3.340,00;18;CE;F;Ativo;0;0;NAO
C0026571;B2PC8HU6PZW;22/11/2025;cartao;Loja;567,62;6;14,04;1107.34;626;5.650,00;34;SP;F;Ativo;0;0;NAO
C0032319;KCBC7VSVAX8;2025-07-29;Emprestimo Pessoal;App;812,02;18;4,12;1.244,88;640;1.300,00;25;RS;F;Ativo;0;0;NAO
C0026813; JFY8RTAF36F ;2025-09-14;CDC;Site;1194.15;12;13,90;1925.10;479;3100.00;28;SP;F;Cancelado;0;1;SIM
C0030179;NXHCU2FBJGR;14/09/2025;ep;Site;766,60;6;10,89;886,30;551;2.000,00;36;RS;F;Ativo;0;0;NAO
C0018481;FT7GY2VSZQH;10/11/2025;cartao;site;418,48;10;13,84;475,60;505;NULL;44;BA;M;Quitado;0;0;SIM
C0048200;X77Q6364AJ9;02/12/2025;ep;LOJA;548,94;12;11,40;884,35;585;4.620,00;49;SP;F;Cancelado;0;0;NAO
C0040611;guvwauqhh98;03/10/2025;CREDIARIO;SITE;R$ 403,17;10;12,42;432,59;639;R$ 3.290,00;27;PA;M;Cancelado;0;0;NAO
C0000459;UWPPXZ3LPLS;23/08/2025;Empréstimo Pessoal;Loja;598,03;6;12,67;999,05;602;R$ 1.820,00;32;RS;M;Quitado;0;0;NAO
C0017528;ZKPSCMTJQT8;22/09/2025;Emprestimo Pessoal;APP;1.609,59;10;10,48;2.021,21;648;R$ 4.020,00;27;MG;M;Cancelado;0;0;NAO
C0005645;4ggwb9838h6;21-09-2025;EP;APP;1.326,12;10;13,12;1.901,49;551;600,00;45;SP;M;Ativo;1;1;SIM
C0034230;hxz3udf69tg;09/10/2025;CREDIARIO;loja;1.310,89;12;8,35;2.218,04;644;8.180,00;29;SP;M;Ativo;0;0;NAO
C0021113;7GA9N6VPZC7;24/07/2025;CDC;Loja;352.19;9;10,42;446,88;647;NULL;53;SP;F;Quitado;0;0;NAO
C0037565;BF5WVRG2N84;16/08/2025;EP;site;1.158,32;24;9,70;1.416,40;583;2300.00;28;BA;M;Cancelado;0;0;SIM
C0047378; FFPZL63QWPB ;02/08/2025;ep;App;R$ 923,07;9;13,69;R$ 1.551,51;602;5.180,00;42;SP;M;Ativo;0;0;NAO
C0008517;C74N6ZEHN3W;29/08/2025;Empréstimo Pessoal;site;R$ 338,28;18;7,45;508,70;628;-;38;SC;M;Ativo;0;0;NAO
C0020607;5NTBLKTHJRU;07/08/2025;Emprestimo Pessoal;Loja;861,99;12;6,34;1852.83;813;1850.00;37;SP;M;Cancelado;0;0;NAO
C0029992;4QQJJM7SSPY;03/08/2025;Cartão;site;R$ 748,90;9;11,43;852.29;594;2.270,00;59;GO;M;Ativo;0;0;SIM
C0010962; RX3NZDELWEA ;2025-07-27;cdc;SITE;R$ 855,31;18;5,55;1793.07;639;2950.00;45;SP;F;Quitado;0;1;SIM
C0019707;3HKF5MLZEMM;2025-09-24;Crediário;Site;600,29;12;14,22;R$ 1.114,07;590;2.760,00;39;MG;F;Ativo;1;1;SIM
C0030035;AYNEHBQQT9P;30-07-2025;Emprestimo Pessoal;LOJA;1.056,03;24;11,84;1.409,22;533;5.170,00;1;RJ;M;Ativo;0;1;SIM
C0050627;G3J6GWWEM5A;30/08/2025;ep;LOJA;660.46;12;10,69;1210.59;626;3800.00;43;DF;M;Cancelado;0;0;NAO
C0023008;DA52JQHAMHN;01/12/2025;Empréstimo Pessoal;Site;1059.27;18;6,68;2.163,76;622;780.00;48;DF;M;Ativo;0;0;SIM
C0042106;B49DY5NN3G2;16/09/2025;ep;app;597,03;12;10,86;1.412,94;611;5.240,00;21;CE;F;Quitado;0;0;NAO
C0047377;VXN5RGM2V5M;20/09/2025;Emprestimo Pessoal;App;1.115,36;6;9,93;2193.18;764;2.180,00;45;PR;M;Quitado;0;0;NAO
C0013229;8LEZKKZJSR5;19/09/2025;Cartão;SITE;R$ 922,67;6;5,54;2.139,56;743;3.330,00;47;SP;F;Ativo;0;0;NAO
C0044992;66SZCF2FNKS;11/09/2025;cdc;SITE;1521.47;6;9,16;3.014,01;720;1.390,00;50;RS;F;Quitado;0;0;NAO
C0024204;5H577LTQTRD;23-09-2025;cartao;APP;492.96;18;8,68;898,88;610;2390.00;54;MG;F;Ativo;0;0;NAO
C0045343;88WLQ6HPA2J;06/08/2025;EP;PARCEIRO;970,92;18;8,69;1.147,89;648;2.980,00;55;SC;F;Ativo;0;0;NAO
C0035532;E59WU5NCU6R;05/09/2025;ep;APP;1661.76;9;18,00;1.734,00;431;1.990,00;38;PE;F;Quitado;0;0;NAO
C0024776;LSAGKG4PK8L;28/09/2025;EP;LOJA;725,70;10;9,41;1.681,28;-1;3.810,00;33;RJ;M;Ativo;0;0;NAO
