cpf;dt_transacao;valor_aposta;modalidade;casa_aposta;canal
qcg.fvh6.rs26;05-06-2025;147.13;POKER;Superbet;app
drhrutu3aaa;03/10/2025;22,14;BINGO;KTO;site
wag.vzhp.zsmh;2025-07-31 00:00:00;61.99;Poker;Pixbet;App
FY5N-GS9S-QQZ;2025-05-23;41.73;CASSINO;Superbet;app
 9dh.6gmp.gt34;2025-08-14;50.43;Cassino;Sportingbet;App
xxxckspbtsr;2025-03-06;34,98;ESPORTIVA;Pixbet;App
5g2qqr3u648;2025-08-05;15.24;Cassino;KTO;site
 ww9.knc4.cuzx;16/04/2025;53.11;Esportiva;Bet365;Site
qqu.lhca.jla9;2025-12-04 00:00:00;26.34;CASSINO;Bet365;site
C49F-2UG8-6CJ;2025-12-07;37,45;Esportiva;Superbet;App
exnp7wl7udn;02/12/2025;31.92;CASSINO;Pixbet;site
45x.uwys.k4cg;24/04/2025;59.55;bingo;Estrela;App
sun.xvsd.jemt;22/11/2025;53.87;cassino;KTO;App
k3etyklxl7y;17-08-2025;30.66;ESPORTIVA;Estrela;App
5ag.fqw8.tppu;2025-07-03 00:00:00;27.33;Poker;Bet365;site
tx8.98l2.sejq;26-11-2025;55.44;Cassino;Superbet;app
awa.pfmx.5hn6;15-10-2025;38,79;Esportiva;Estrela;Site
f6g.7pd2.8wtg;2025-10-10;64,49;CASSINO;Pixbet;app
2vd.dnq9.kg8e;2025-05-26;39.42;CASSINO;Pixbet;App
7wlpzzqkxxv;2025-06-07 00:00:00;25.47;esportiva;Pixbet;app
p3r.fxnq.n5tc;10-03-2025;58,45;ESPORTIVA;Estrela;app
2km.lw2e.43vh;2025-11-05;131.06;POKER;KTO;Site
D6PX-55FN-CWP;2025-05-23 00:00:00;6.45;ESPORTIVA;Betano;app
8TLZ-U5QC-78C;2025-03-27;41.63;esportiva;Superbet;app
gt2.pklc.6uqt;2025-09-15 00:00:00;52.38;esportiva;Estrela;App
 fc3b8h7xa29;2025-07-29 00:00:00;228.11;Cassino;Pixbet;App
WNRP-F7TN-XXP;2025-04-23;15.33;poker;Superbet;site
xgs8qmp68dw;05/04/2025;59,61;ESPORTIVA;Estrela;app
ylp9upwv99m;15-10-2025;108.49;ESPORTIVA;Sportingbet;app
NUAN-X8VF-LGE;2025-06-19;124,35;Poker;Pixbet;app
jk6.ttu2.sfcq;04/10/2025;34.85;CASSINO;Sportingbet;site
pqk.lerr.n9d7;2025-12-17 00:00:00;23,94;POKER;Estrela;app
6de.dbcz.n7dh;17/05/2025;166.12;esportiva;Estrela;app
2EYU-RN93-F9E;2025-12-16 00:00:00;66.79;esportiva;KTO;App
8wyeuneszqe;20/08/2025;29.92;cassino;Pixbet;App
p5r.gnk5.86n3;12/06/2025;24.87;Esportiva;Pixbet;site
88C9-CXSF-73W;2025-10-16 00:00:00;68,69;Poker;Sportingbet;App
v4c.cvqg.8vfe;31-08-2025;220.05;Esportiva;Bet365;App
e2b.hgx4.gt4p;2025-11-06 00:00:00;44,00;Cassino;Estrela;app
HC73-6KDW-WMU;2025-07-12 00:00:00;19.97;Esportiva;Blaze;App
mjg.mj3u.cpee;11-05-2025;26.43;cassino;Blaze;site
gkv.lfb5.5hdy;05-05-2025;181.17;bingo;Bet365;app
GEZX-39FR-UH3;2025-05-15;40,47;esportiva;Estrela;app
lgg.a6x8.fxld;16/11/2025;85.81;CASSINO;Pixbet;App
uldb2wduvgy;06/10/2025;41.19;Bingo;Blaze;App
e5t8n26xje5;2025-06-26 00:00:00;73,54;BINGO;Betano;App
W35E-YJN2-UB8;03-07-2025;68.76;ESPORTIVA;Sportingbet;App
rlg.wbqp.6lrv;25/06/2025;55.03;esportiva;Estrela;site
h7h.hujk.htzr;2025-12-01 00:00:00;35.61;esportiva;Pixbet;Site
zjv.4yr4.vxr5;24/06/2025;33.85;esportiva;Pixbet;app
mmc255cmezt;24/10/2025;35,18;Bingo;Estrela;site
cmkckq26fj6;2025-07-29 00:00:00;R$ 114,88;bingo;Sportingbet;App
JWBR-Y88E-B74;23/06/2025;78.24;BINGO;Estrela;app
w5pz8c9j6wy;2025-09-16 00:00:00;114,87;Bingo;Pixbet;app
5kc.3n8m.tn4g;14-05-2025;29.34;Cassino;Betano;App
NJ2R-R2MX-FUP;2025-06-05;45.19;Bingo;Pixbet;site
DA7J-MMCA-K9E;2025-10-04 00:00:00;198.83;Cassino;Sportingbet;Site
D4PW-TK7H-B2V;31-10-2025;7,31;POKER;KTO;App
eum.uq77.kkzc;10-04-2025;10.37;Poker;Betano;site
Y76F-558T-7KS;03/09/2025;56.20;esportiva;KTO;app
flz2gl2mcre;2025-11-20;60,04;Esportiva;Betano;app
2s8.d7e6.9f6j;2025-05-17;25.50;CASSINO;Bet365;app
6xe.cubp.l4z4;09/03/2025;4.97;Bingo;KTO;App
fwr.cxb7.jqtw;28/11/2025;5.88;esportiva;Betano;app
WSE7-JFAK-4P3;2025-06-07 00:00:00;58.59;cassino;Pixbet;App
4jv.qppt.su8w;2025-09-03 00:00:00;141.20;ESPORTIVA;Pixbet;app
5nk.dxh6.r54y;2025-10-30 00:00:00;57.18;Esportiva;KTO;App
ju7yuzdbr7g;2025-07-15 00:00:00;R$ 36,96;Esportiva;Blaze;site
wap.uadw.rfar;06/10/2025;-44,23;Esportiva;Superbet;App
s8cxpgwxu3t;2025-06-06;52.23;Poker;Blaze;App
BEBJ-HE2K-9CF;2025-04-16 00:00:00;151,79;ESPORTIVA;Estrela;App
WBQX-NS53-Z3C;2025-04-21 00:00:00;91,72;bingo;Betano;Site
X5JF-DAQ5-CW3;2025-11-16 00:00:00;25.68;Esportiva;Estrela;app
34q.hehk.yluf;21/07/2025;26.88;Cassino;Sportingbet;site
xcf7zlqm7zh;2025-06-11 00:00:00;82.85;cassino;Superbet;app
lpy.zhab.lqfa;2025-04-23;23,32;esportiva;Betano;App
4UJZ-WZA7-6A7;2025-09-24;73,81;esportiva;Superbet;site
r5tjux72dux;27/04/2025;41,66;cassino;KTO;App
 yyh.pbdk.cjwn;2025-10-20;63,27;ESPORTIVA;Betano;site
rmx.k525.ld8g;2025-03-24 00:00:00;95,97;cassino;Pixbet;App
pfr.3bn4.ua5b;2025-08-30;18.91;poker;Superbet;App
2d8b4utswf3;2025-10-15 00:00:00;50,48;esportiva;KTO;Site
VTXA-RW2K-9MW;2025-03-06;73.13;BINGO;KTO;App
8gm.pllb.kgke;04-04-2025;6.70;Esportiva;Estrela;App
yf6.uk8r.pa95;2025-04-11;14.04;ESPORTIVA;Pixbet;Site
mu28akkd3z9;2025-10-06 00:00:00;79.65;esportiva;Pixbet;App
2gz.whmu.abgw;2025-11-23;96.76;poker;Betano;App
79h3zqx69ws;03/07/2025;37.56;Bingo;Betano;App
2M48-R729-CE4;09-12-2025;32.34;Poker;Pixbet;site
e2g.59s9.6jv6;2025-07-12;64.72;CASSINO;Sportingbet;site
gmn.g588.dyfc;2025-05-29;31.73;ESPORTIVA;KTO;App
unv7tm5qves;13/04/2025;15,82;Esportiva;Blaze;App
E7R5-A3LY-SUT;2025-06-11 00:00:00;40.93;Esportiva;Estrela;Site
5xw.vf7j.vxju;2025-09-09;68,24;Cassino;Bet365;App
2nr.8yum.ed9c;2025-03-02;71.06;Poker;Blaze;App
tlv.5j66.7ckd;26-06-2025;42,41;esportiva;Sportingbet;App
gby7qv92h2n;2025-04-28 00:00:00;52,50;cassino;Bet365;App
k8s.vhjz.qe4n;2025-07-03 00:00:00;106,42;cassino;Superbet;App
rf3bdjvmmt4;2025-06-21;126.08;cassino;KTO;App
6kw.uf4v.bfme;2025-03-21;31,75;cassino;Pixbet;app
q9l.46kb.3cwr;2025-05-04 00:00:00;75.41;Esportiva;Superbet;app
rar.vqdq.xrz8;26/05/2025;78.52;CASSINO;Sportingbet;App
xtc.ex75.5eqv;07/10/2025;72,29;POKER;Bet365;App
r5a8z2ah8vz;2025-06-21 00:00:00;278.06;bingo;Estrela;App
x543n7u28pv;2025-09-24;6.91;Bingo;KTO;site
wqf.a8kk.xjny;2025-11-09 00:00:00;68.62;CASSINO;KTO;Site
jffmlbph5tm;12-11-2025;14.71;Esportiva;Pixbet;App
 nmz59mnwdf8;2025-03-26 00:00:00;R$ 47,82;esportiva;Superbet;app
v2m.6dhf.2p8j;12-11-2025;22,31;Cassino;KTO;site
jqv.e3ml.slc7;19/12/2025;23.80;ESPORTIVA;Estrela;App
ela.lp8p.t5el;2025-07-04 00:00:00;46.00;esportiva;Pixbet;App
nfbu3dchcph;2025-12-02;47.83;esportiva;Bet365;app
27EU-FQQC-FT4;18/03/2025;30.66;esportiva;Betano;app
zhf.n5mg.kjtx;2025-08-26;33.97;cassino;Pixbet;app
YU26-BX4G-CSS;22-08-2025;R$ 25,80;esportiva;Sportingbet;app
