id_contrato;cpf;dt_contratacao;produto;canal_originacao;valor_contratado;prazo_meses;taxa_juros_am;limite_aprovado;score_bureau;renda_declarada;idade;uf;sexo;status_contrato;fpd_15;over30_3m;over60_6m
C0040596;PMFYJ8P72ML;26/10/2025;Empréstimo Pessoal;App;R$ 693,58;9;8,92;R$ 768,58;601;R$ 3.500,00;;SC;F;Cancelado;0;0;NAO
C0049351;T4KLGF6C33X;23/09/2025;Cartão;Parceiro;R$ 1.303,81;6;11,60;R$ 1.343,35;568;R$ 3.000,00;52;SP;F;Ativo;0;0;NAO
C0003573;YGU3XHHHWXS;12/06/2025;Crediário;Site;R$ 2.368,75;9;4,32;R$ 4.145,08;777;R$ 1.690,00;34;PE;F;Ativo;0;0;NAO
C0042369;WYKB278SP6B;15/07/2025;Crediário;App;R$ 1.775,17;3;7,14;R$ 3.687,40;648;R$ 1.440,00;18;GO;M;Quitado;0;0;NAO
C0049490;CA3GT4FLAGC;30/09/2025;CDC;Site;R$ 154,98;18;10,07;R$ 231,60;602;R$ 5.360,00;36;PE;M;Ativo;0;0;NAO
C0028901;NVT7729EPE9;29/10/2025;Crediário;App;R$ 632,51;18;2,50;R$ 1.157,02;828;R$ 3.230,00;28;SP;M;Ativo;0;0;NAO
C0044341;VNPUWMJVYMS;11/11/2025;CDC;Loja;R$ 1.533,94;12;11,18;R$ 3.611,02;641;R$ 4.020,00;31;SP;M;Ativo;1;1;SIM
C0001806;B7UDSAKMQU4;29/11/2025;Empréstimo Pessoal;Parceiro;R$ 636,27;10;11,63;R$ 707,66;;R$ 0,00;59;PR;M;Ativo;0;0;NAO
C0023058;8YVGZPTHKEF;03/07/2025;Empréstimo Pessoal;Parceiro;R$ 802,28;12;16,73;R$ 1.689,37;501;R$ 1.940,00;38;SC;F;Cancelado;0;1;SIM
C0027992;V4UFNER239J;03/10/2025;Empréstimo Pessoal;Loja;R$ 1.344,03;12;7,30;R$ 1.712,08;720;R$ 6.830,00;33;PE;F;Ativo;0;0;NAO
C0035950;36ASRHLWW9J;22/10/2025;CDC;Site;R$ 359,26;18;10,85;R$ 593,97;605;;34;MG;F;Ativo;0;0;SIM
C0051526;8GE9GVVSFYL;02/08/2025;Cartão;Site;R$ 684,71;24;12,32;R$ 1.518,89;683;R$ 4.050,00;30;MG;F;Ativo;0;0;NAO
C0026240;RMYBMNQB35W;29/06/2025;Empréstimo Pessoal;App;R$ 1.121,56;3;9,96;R$ 2.435,06;580;R$ 3.330,00;30;DF;F;Ativo;0;1;SIM
C0005498;8LC2HBYLEBF;01/07/2025;Crediário;App;R$ 710,78;6;12,28;R$ 1.379,79;559;R$ 3.270,00;49;SP;M;Ativo;0;0;SIM
C0047045;5WQJ4QDCXP7;06/07/2025;Crediário;App;R$ 3.567,71;9;8,23;R$ 4.221,56;677;R$ 3.070,00;29;SP;M;Ativo;0;0;NAO
C0037180;8GLEAE9A3KF;22/06/2025;Crediário;Parceiro;R$ 1.126,30;6;16,17;R$ 2.088,21;423;R$ 2.090,00;57;MG;F;Ativo;0;1;SIM
C0050039;WJPQWYBWQWT;16/10/2025;Empréstimo Pessoal;Site;R$ 585,86;12;10,88;R$ 1.383,16;576;R$ 1.910,00;21;PA;M;Ativo;0;0;NAO
C0051272;B9HYF7Z9CJU;09/10/2025;Crediário;Loja;R$ 926,08;24;14,34;R$ 2.130,04;536;R$ 2.030,00;46;SP;M;Ativo;1;1;SIM
C0011210;G6E4VMJZQTM;20/09/2025;CDC;Loja;R$ 762,56;6;7,67;R$ 866,21;636;R$ 3.340,00;18;CE;F;Ativo;0;0;NAO
C0026571;B2PC8HU6PZW;22/11/2025;Cartão;Loja;R$ 567,62;6;14,04;R$ 1.107,34;626;R$ 5.650,00;34;SP;F;Ativo;0;0;NAO
C0032319;KCBC7VSVAX8;29/07/2025;Empréstimo Pessoal;App;R$ 812,02;18;4,12;R$ 1.244,88;640;R$ 1.300,00;25;RS;F;Ativo;0;0;NAO
C0026813;JFY8RTAF36F;14/09/2025;CDC;Site;R$ 1.194,15;12;13,90;R$ 1.925,10;479;R$ 3.100,00;28;SP;F;Cancelado;0;1;SIM
C0030179;NXHCU2FBJGR;14/09/2025;Empréstimo Pessoal;Site;R$ 766,60;6;10,89;R$ 886,30;551;R$ 2.000,00;36;RS;F;Ativo;0;0;NAO
C0018481;FT7GY2VSZQH;10/11/2025;Cartão;Site;R$ 418,48;10;13,84;R$ 475,60;505;;44;BA;M;Quitado;0;0;SIM
C0048200;X77Q6364AJ9;02/12/2025;Empréstimo Pessoal;Loja;R$ 548,94;12;11,40;R$ 884,35;585;R$ 4.620,00;49;SP;F;Cancelado;0;0;NAO
C0040611;GUVWAUQHH98;03/10/2025;Crediário;Site;R$ 403,17;10;12,42;R$ 432,59;639;R$ 3.290,00;27;PA;M;Cancelado;0;0;NAO
C0000459;UWPPXZ3LPLS;23/08/2025;Empréstimo Pessoal;Loja;R$ 598,03;6;12,67;R$ 999,05;602;R$ 1.820,00;32;RS;M;Quitado;0;0;NAO
C0017528;ZKPSCMTJQT8;22/09/2025;Empréstimo Pessoal;App;R$ 1.609,59;10;10,48;R$ 2.021,21;648;R$ 4.020,00;27;MG;M;Cancelado;0;0;NAO
C0005645;4GGWB9838H6;21/09/2025;Empréstimo Pessoal;App;R$ 1.326,12;10;13,12;R$ 1.901,49;551;R$ 600,00;45;SP;M;Ativo;1;1;SIM
C0034230;HXZ3UDF69TG;09/10/2025;Crediário;Loja;R$ 1.310,89;12;8,35;R$ 2.218,04;644;R$ 8.180,00;29;SP;M;Ativo;0;0;NAO
C0021113;7GA9N6VPZC7;24/07/2025;CDC;Loja;R$ 352,19;9;10,42;R$ 446,88;647;;53;SP;F;Quitado;0;0;NAO
C0037565;BF5WVRG2N84;16/08/2025;Empréstimo Pessoal;Site;R$ 1.158,32;24;9,70;R$ 1.416,40;583;R$ 2.300,00;28;BA;M;Cancelado;0;0;SIM
C0047378;FFPZL63QWPB;02/08/2025;Empréstimo Pessoal;App;R$ 923,07;9;13,69;R$ 1.551,51;602;R$ 5.180,00;42;SP;M;Ativo;0;0;NAO
C0008517;C74N6ZEHN3W;29/08/2025;Empréstimo Pessoal;Site;R$ 338,28;18;7,45;R$ 508,70;628;;38;SC;M;Ativo;0;0;NAO
C0020607;5NTBLKTHJRU;07/08/2025;Empréstimo Pessoal;Loja;R$ 861,99;12;6,34;R$ 1.852,83;813;R$ 1.850,00;37;SP;M;Cancelado;0;0;NAO
C0029992;4QQJJM7SSPY;03/08/2025;Cartão;Site;R$ 748,90;9;11,43;R$ 852,29;594;R$ 2.270,00;59;GO;M;Ativo;0;0;SIM
C0010962;RX3NZDELWEA;27/07/2025;CDC;Site;R$ 855,31;18;5,55;R$ 1.793,07;639;R$ 2.950,00;45;SP;F;Quitado;0;1;SIM
C0019707;3HKF5MLZEMM;24/09/2025;Crediário;Site;R$ 600,29;12;14,22;R$ 1.114,07;590;R$ 2.760,00;39;MG;F;Ativo;1;1;SIM
C0030035;AYNEHBQQT9P;30/07/2025;Empréstimo Pessoal;Loja;R$ 1.056,03;24;11,84;R$ 1.409,22;533;R$ 5.170,00;;RJ;M;Ativo;0;1;SIM
C0050627;G3J6GWWEM5A;30/08/2025;Empréstimo Pessoal;Loja;R$ 660,46;12;10,69;R$ 1.210,59;626;R$ 3.800,00;43;DF;M;Cancelado;0;0;NAO
