cpf;dt_transacao;valor_aposta;modalidade;casa_aposta;canal
QCGFVH6RS26;05/06/2025;R$ 147,13;Poker;Superbet;App
DRHRUTU3AAA;03/10/2025;R$ 22,14;Bingo;KTO;Site
WAGVZHPZSMH;31/07/2025;R$ 61,99;Poker;Pixbet;App
FY5NGS9SQQZ;23/05/2025;R$ 41,73;Cassino;Superbet;App
9DH6GMPGT34;14/08/2025;R$ 50,43;Cassino;Sportingbet;App
XXXCKSPBTSR;06/03/2025;R$ 34,98;Esportiva;Pixbet;App
5G2QQR3U648;05/08/2025;R$ 15,24;Cassino;KTO;Site
WW9KNC4CUZX;16/04/2025;R$ 53,11;Esportiva;Bet365;Site
QQULHCAJLA9;04/12/2025;R$ 26,34;Cassino;Bet365;Site
C49F2UG86CJ;07/12/2025;R$ 37,45;Esportiva;Superbet;App
EXNP7WL7UDN;02/12/2025;R$ 31,92;Cassino;Pixbet;Site
45XUWYSK4CG;24/04/2025;R$ 59,55;Bingo;Estrela;App
SUNXVSDJEMT;22/11/2025;R$ 53,87;Cassino;KTO;App
K3ETYKLXL7Y;17/08/2025;R$ 30,66;Esportiva;Estrela;App
5AGFQW8TPPU;03/07/2025;R$ 27,33;Poker;Bet365;Site
TX898L2SEJQ;26/11/2025;R$ 55,44;Cassino;Superbet;App
AWAPFMX5HN6;15/10/2025;R$ 38,79;Esportiva;Estrela;Site
F6G7PD28WTG;10/10/2025;R$ 64,49;Cassino;Pixbet;App
2VDDNQ9KG8E;26/05/2025;R$ 39,42;Cassino;Pixbet;App
7WLPZZQKXXV;07/06/2025;R$ 25,47;Esportiva;Pixbet;App
P3RFXNQN5TC;10/03/2025;R$ 58,45;Esportiva;Estrela;App
2KMLW2E43VH;05/11/2025;R$ 131,06;Poker;KTO;Site
D6PX55FNCWP;23/05/2025;R$ 6,45;Esportiva;Betano;App
8TLZU5QC78C;27/03/2025;R$ 41,63;Esportiva;Superbet;App
GT2PKLC6UQT;15/09/2025;R$ 52,38;Esportiva;Estrela;App
FC3B8H7XA29;29/07/2025;R$ 228,11;Cassino;Pixbet;App
WNRPF7TNXXP;23/04/2025;R$ 15,33;Poker;Superbet;Site
XGS8QMP68DW;05/04/2025;R$ 59,61;Esportiva;Estrela;App
YLP9UPWV99M;15/10/2025;R$ 108,49;Esportiva;Sportingbet;App
NUANX8VFLGE;19/06/2025;R$ 124,35;Poker;Pixbet;App
JK6TTU2SFCQ;04/10/2025;R$ 34,85;Cassino;Sportingbet;Site
PQKLERRN9D7;17/12/2025;R$ 23,94;Poker;Estrela;App
6DEDBCZN7DH;17/05/2025;R$ 166,12;Esportiva;Estrela;App
2EYURN93F9E;16/12/2025;R$ 66,79;Esportiva;KTO;App
8WYEUNESZQE;20/08/2025;R$ 29,92;Cassino;Pixbet;App
P5RGNK586N3;12/06/2025;R$ 24,87;Esportiva;Pixbet;Site
88C9CXSF73W;16/10/2025;R$ 68,69;Poker;Sportingbet;App
V4CCVQG8VFE;31/08/2025;R$ 220,05;Esportiva;Bet365;App
E2BHGX4GT4P;06/11/2025;R$ 44,00;Cassino;Estrela;App
HC736KDWWMU;12/07/2025;R$ 19,97;Esportiva;Blaze;App
MJGMJ3UCPEE;11/05/2025;R$ 26,43;Cassino;Blaze;Site
GKVLFB55HDY;05/05/2025;R$ 181,17;Bingo;Bet365;App
GEZX39FRUH3;15/05/2025;R$ 40,47;Esportiva;Estrela;App
LGGA6X8FXLD;16/11/2025;R$ 85,81;Cassino;Pixbet;App
ULDB2WDUVGY;06/10/2025;R$ 41,19;Bingo;Blaze;App
E5T8N26XJE5;26/06/2025;R$ 73,54;Bingo;Betano;App
W35EYJN2UB8;03/07/2025;R$ 68,76;Esportiva;Sportingbet;App
RLGWBQP6LRV;25/06/2025;R$ 55,03;Esportiva;Estrela;Site
H7HHUJKHTZR;01/12/2025;R$ 35,61;Esportiva;Pixbet;Site
ZJV4YR4VXR5;24/06/2025;R$ 33,85;Esportiva;Pixbet;App
MMC255CMEZT;24/10/2025;R$ 35,18;Bingo;Estrela;Site
CMKCKQ26FJ6;29/07/2025;R$ 114,88;Bingo;Sportingbet;App
JWBRY88EB74;23/06/2025;R$ 78,24;Bingo;Estrela;App
W5PZ8C9J6WY;16/09/2025;R$ 114,87;Bingo;Pixbet;App
5KC3N8MTN4G;14/05/2025;R$ 29,34;Cassino;Betano;App
NJ2RR2MXFUP;05/06/2025;R$ 45,19;Bingo;Pixbet;Site
DA7JMMCAK9E;04/10/2025;R$ 198,83;Cassino;Sportingbet;Site
D4PWTK7HB2V;31/10/2025;R$ 7,31;Poker;KTO;App
EUMUQ77KKZC;10/04/2025;R$ 10,37;Poker;Betano;Site
Y76F558T7KS;03/09/2025;R$ 56,20;Esportiva;KTO;App
FLZ2GL2MCRE;20/11/2025;R$ 60,04;Esportiva;Betano;App
2S8D7E69F6J;17/05/2025;R$ 25,50;Cassino;Bet365;App
6XECUBPL4Z4;09/03/2025;R$ 4,97;Bingo;KTO;App
FWRCXB7JQTW;28/11/2025;R$ 5,88;Esportiva;Betano;App
WSE7JFAK4P3;07/06/2025;R$ 58,59;Cassino;Pixbet;App
4JVQPPTSU8W;03/09/2025;R$ 141,20;Esportiva;Pixbet;App
5NKDXH6R54Y;30/10/2025;R$ 57,18;Esportiva;KTO;App
JU7YUZDBR7G;15/07/2025;R$ 36,96;Esportiva;Blaze;Site
WAPUADWRFAR;06/10/2025;R$ -44,23;Esportiva;Superbet;App
S8CXPGWXU3T;06/06/2025;R$ 52,23;Poker;Blaze;App
BEBJHE2K9CF;16/04/2025;R$ 151,79;Esportiva;Estrela;App
WBQXNS53Z3C;21/04/2025;R$ 91,72;Bingo;Betano;Site
X5JFDAQ5CW3;16/11/2025;R$ 25,68;Esportiva;Estrela;App
